customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590_VHVEG,Female,0,Yes,No,1,No,NoPhoneService,DSL,No,Yes,No,No,No,No,Month_to_month,Yes,ElectronicCheck,29.85,29.85,No
5575_GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,OneYear,No,MailedCheck,56.95,1889.5,No
3668_QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month_to_month,Yes,MailedCheck,53.85,108.15,Yes
7795_CFOCW,Male,0,No,No,45,No,NoPhoneService,DSL,Yes,No,Yes,Yes,No,No,OneYear,No,BankTransferAutomatic,42.3,1840.75,No
9237_HQITU,Female,0,No,No,2,Yes,No,FiberOptic,No,No,No,No,No,No,Month_to_month,Yes,ElectronicCheck,70.7,151.65,Yes
9305_CDSKC,Female,0,No,No,8,Yes,Yes,FiberOptic,No,No,Yes,No,Yes,Yes,Month_to_month,Yes,ElectronicCheck,99.65,820.5,Yes
1452_KIOVK,Male,0,No,Yes,22,Yes,Yes,FiberOptic,No,Yes,No,No,Yes,No,Month_to_month,Yes,CreditCardAutomatic,89.1,1949.4,No
6713_OKOMC,Female,0,No,No,10,No,NoPhoneService,DSL,Yes,No,No,No,No,No,Month_to_month,No,MailedCheck,29.75,301.9,No
7892_POOKP,Female,0,Yes,No,28,Yes,Yes,FiberOptic,No,No,Yes,Yes,Yes,Yes,Month_to_month,Yes,ElectronicCheck,104.8,3046.05,Yes
6388_TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,OneYear,No,BankTransferAutomatic,56.15,3487.95,No
9763_GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month_to_month,Yes,MailedCheck,49.95,587.45,No
7469_LKBCI,Male,0,No,No,16,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,No,CreditCardAutomatic,18.95,326.8,No
8091_TTVAX,Male,0,Yes,No,58,Yes,Yes,FiberOptic,No,No,Yes,No,Yes,Yes,OneYear,No,CreditCardAutomatic,100.35,5681.1,No
0280_XJGEX,Male,0,No,No,49,Yes,Yes,FiberOptic,No,Yes,Yes,No,Yes,Yes,Month_to_month,Yes,BankTransferAutomatic,103.7,5036.3,Yes
5129_JLPIS,Male,0,No,No,25,Yes,No,FiberOptic,Yes,No,Yes,Yes,Yes,Yes,Month_to_month,Yes,ElectronicCheck,105.5,2686.05,No
3655_SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,FiberOptic,Yes,Yes,Yes,Yes,Yes,Yes,TwoYear,No,CreditCardAutomatic,113.25,7895.15,No
8191_XWSZG,Female,0,No,No,52,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,OneYear,No,MailedCheck,20.65,1022.95,No
9959_WOFKT,Male,0,No,Yes,71,Yes,Yes,FiberOptic,Yes,No,Yes,No,Yes,Yes,TwoYear,No,BankTransferAutomatic,106.7,7382.25,No
4190_MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month_to_month,No,CreditCardAutomatic,55.2,528.35,Yes
